Author,Title,Year,Themes
Madeleine de Scudéry,Artamène,1691,"Cour et courtisans, Fiction, Conditions sociales, Vie sociale et mœurs, Femmes, Fiction, général, France, fiction"
Paul Scarron,Conférence de Svr Rvel sur Mars,1649,"Fronde, Poésie, Histoire, France. 1649 11 mars, France"
Jean de La Fontaine,Fables,1678,"Fables françaises, Traductions en anglais, Fables, Livres grand format, Illustrations, Adaptations, Traductions en malgache, Spécimens, Fables d'Ésope, Fables anglaises, Langue française, Traductions en créole français, Lecteurs, Poésie, Documents en langue française, Traductions en yiddish, Littérature pour la jeunesse, Traductions du français, Traductions en arabe, Traductions en espéranto, Traductions en occitan, Livres-jouets et mobiles, Dialectes, Langue latine, Fables yiddish, Traductions en italien, Traductions, Traductions en vietnamien, Traductions en allemand, Fables russes, Animaux, Fábulas, La Fontaine, Jean de, 1621-1695. Fables, Monaco, Fábulas francesas, Rats, Livre accessible, Fables françaises, Traductions anglaises, Protégé DAISY, En bibliothèque, Fiction, OverDrive, Fiction pour enfants, Fiction, général, Traductions en créole, Nouvelles, Littérature française"
Jean de La Fontaine,Contes et nouvelles en vers,1685,"Traductions en anglais, Traductions en occitan, Fables françaises, Langue française, Reliure, Littérature française, Poésie grivoise, Poésie grivoise française, Dialectes, Monaco, Exemples, Fiction, Littérature pour la jeunesse, Littérature française, traductions en anglais, La fontaine, jean de, 1621-1695, Poésie française, traductions en anglais, Fables, Poésie (œuvres poétiques d'un même auteur)"
Charles Sorel,De la connoissance des bons livres,1671,"Langue française, Littérature française, Histoire, Histoire et critique, Littérature"
Marie-Catherine d'Aulnoy,Relation du voyage d'Espagne,1691,"Early works to 1800, Description and travel, Voyages, imaginary, Spain, history, Spain, social life and customs, Imaginary Voyages, History, Social life and customs, Voyages imaginaires, Histoire, Mœurs et coutumes, TRAVEL / Europe / Western, REFERENCE / General, Manners and customs, Spain & Portugal, Regions & Countries - Europe, History & Archaeology"
Marie-Catherine d'Aulnoy,Le Prince de Carency,1719,"Fiction, Princes, Fiction, biographique, France, fiction, Fiction, historique, général"
Montesquieu,De l'esprit des lois,1748,"Droit, Philosophie, Jurisprudence, grands_livres_du_monde_occidental, Sciences politiques, Etat, L, Jurisprudence, Philosophie, L'Etat, État, Science politique, Droit, Estado, Philosophie, Évolution, Droit (Philosophie), Science politique, Premiers travaux jusqu'à 1800, Droit, Etat, L 0, Nationalisme, Droit, philosophie, Droit, histoire, Philosophie, moderne, Sciences Politiques, Ouvrages avant 1800, Droit--philosophie, Jc179 .m74 1989, 320, Science politique--premiers travaux jusqu'à 1800, Etat, l--premiers travaux jusqu'à 1800, Droit--philosophie--premiers travaux jusqu'à 1800, Jc179 .m74513 2002"
Montesquieu,Lettres persanes,1721,"Fiction, Iranians, East and West, Social life and customs, French language edition, Eighteenth century, French language books, History, Classic Literature, Montesquieu, Charles de Secondat, baron de, 1689-1755. Lettres Persanes, French Satire, French literature, Epistolary fiction, history and criticism, Iran, history, Manuel, Letters, Fiction, general, Europe, fiction, Travelers, Iranians--france--fiction, Travelers--fiction, Letters--fiction, Pq2011.l5 e57 2008, 843/.5, Montesquieu, charles de secondat, baron de, 1689-1755, Voyages, imaginary"
Montesquieu,"L'esprit des lois, y compris l'analyse de l'ouvrage par d'Alembert",1900,"Jurisprudence, Philosophie, Droit, Science politique, L'État"
